Product_ID,Source,Sales_Agent,Location,Delivery_Mode,Status
18.0,Website,Sales-Agent-11,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Call,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Call,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
9.0,Live Chat,Sales-Agent-3,Bangalore,Mode-1,Good
19.0,Call,Sales-Agent-4,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Call,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Website,Sales-Agent-10,Other Locations,Mode-5,Good
18.0,Call,Sales-Agent-9,Foreign,Mode-3,Good
18.0,Website,Sales-Agent-11,Other Locations,Mode-1,Good
15.0,Website,Sales-Agent-7,Hyderabad,Mode-1,Bad
18.0,Call,Sales-Agent-7,Bangalore,Mode-1,Good
18.0,Live Chat,Sales-Agent-9,Other Locations,Mode-3,Bad
27.0,Call,Sales-Agent-11,Chennai,Mode-5,Good
19.0,Live Chat,Sales-Agent-4,Foreign,Mode-2,Good
19.0,Live Chat,Sales-Agent-4,Foreign,Mode-4,Bad
18.0,Call,Sales-Agent-7,Bangalore,Mode-1,Bad
27.0,Live Chat,Sales-Agent-11,Hyderabad,Mode-3,Good
9.0,Customer Referral,Sales-Agent-7,Bangalore,Mode-4,Good
9.0,Call,Sales-Agent-4,Bangalore,Mode-1,Good
9.0,Website,Sales-Agent-11,Bangalore,Mode-1,Good
19.0,Website,Sales-Agent-7,Other Locations,Mode-1,Bad
18.0,Live Chat,Sales-Agent-9,Bangalore,Mode-1,Good
5.0,Live Chat,Sales-Agent-7,Foreign,Mode-3,Good
19.0,Live Chat,Sales-Agent-4,Delhi,Mode-4,Good
9.0,Call,Sales-Agent-4,Chennai,Mode-5,Good
9.0,Live Chat,Sales-Agent-11,Foreign,Mode-3,Bad
18.0,Call,Sales-Agent-9,Chennai,Mode-1,Bad
2.0,Call,Sales-Agent-9,Other Locations,Mode-5,Good
9.0,Call,Sales-Agent-11,Bangalore,Mode-5,Good
15.0,Call,Sales-Agent-11,Other Locations,Mode-5,Bad
15.0,Call,Sales-Agent-7,Other Locations,Mode-5,Bad
19.0,Live Chat,Sales-Agent-4,Other Locations,Mode-5,Bad
15.0,Call,Sales-Agent-7,Other Locations,Mode-5,Bad
3.0,Call,Sales-Agent-4,Other Locations,Mode-5,Good
18.0,Call,Sales-Agent-4,Bangalore,Mode-5,Good
15.0,Call,Sales-Agent-11,Other Locations,Mode-5,Good
9.0,Call,Sales-Agent-4,Mumbai,Mode-5,Bad
15.0,Call,Sales-Agent-7,Other Locations,Mode-5,Bad
9.0,Call,Sales-Agent-9,Bangalore,Mode-1,Good
19.0,Call,Sales-Agent-9,Bangalore,Mode-1,Good
9.0,Customer Referral,Sales-Agent-9,Chennai,Mode-1,Good
5.0,Live Chat,Sales-Agent-9,Foreign,Mode-3,Good
27.0,Website,Sales-Agent-4,Hyderabad,Mode-1,Good
18.0,Website,Sales-Agent-11,Other Locations,Mode-3,Bad
9.0,Website,Sales-Agent-9,Bangalore,Mode-1,Good
18.0,Website,Sales-Agent-4,Bangalore,Mode-1,Good
19.0,Website,Sales-Agent-9,Other Locations,Mode-1,Good
19.0,Website,Sales-Agent-7,Delhi,Mode-3,Bad
19.0,Website,Sales-Agent-11,Chennai,Mode-1,Good
15.0,Website,Sales-Agent-9,Other Locations,Mode-3,Bad
19.0,Call,Sales-Agent-11,Bangalore,Mode-5,Good
19.0,Call,Sales-Agent-4,Chennai,Mode-1,Good
27.0,Live Chat,Sales-Agent-4,Other Locations,Mode-3,Good
18.0,Live Chat,Sales-Agent-7,Other Locations,Mode-3,Good
18.0,Website,Sales-Agent-11,Chennai,Mode-1,Good
9.0,Live Chat,Sales-Agent-9,Foreign,Mode-3,Good
19.0,Website,Sales-Agent-11,Other Locations,Mode-1,Good
9.0,Call,Sales-Agent-7,Hyderabad,Mode-1,Good
15.0,Call,Sales-Agent-9,Other Locations,Mode-5,Bad
15.0,Call,Sales-Agent-7,Other Locations,Mode-5,Bad
15.0,Call,Sales-Agent-11,Other Locations,Mode-5,Bad
15.0,Call,Sales-Agent-4,Other Locations,Mode-5,Bad
25.0,Live Chat,Sales-Agent-11,Bangalore,Mode-1,Bad
10.0,Website,Sales-Agent-4,Bangalore,Mode-5,Good
18.0,Website,Sales-Agent-11,Other Locations,Mode-1,Bad
9.0,Live Chat,Sales-Agent-9,Bangalore,Mode-1,Good
9.0,Call,Sales-Agent-4,Chennai,Mode-2,Good
18.0,Live Chat,Sales-Agent-9,Chennai,Mode-1,Good
19.0,Call,Sales-Agent-11,Bangalore,Mode-5,Good
18.0,Call,Sales-Agent-11,Delhi,Mode-5,Good
